Phone1,Phone2,Count,CosineSimilarity_tamil_word2vec_,ClosestPhone_tamil_word2vec_,MaxSimilarity_tamil_word2vec_,CosineSimilarity_telugu_word2vec_,ClosestPhone_telugu_word2vec_,MaxSimilarity_telugu_word2vec_,CosineSimilarity_hindi_word2vec_,ClosestPhone_hindi_word2vec_,MaxSimilarity_hindi_word2vec_,CosineSimilarity_cmu_word2vec_,ClosestPhone_cmu_word2vec_,MaxSimilarity_cmu_word2vec_
T,CH,16,0.2800000011920929,P,0.4699999988079071,0.5099999904632568,DH,0.6499999761581421,0.3400000035762787,TH,0.5299999713897705,0.14000000059604645,Z,0.3400000035762787
SH,IH,8,0.0,F,0.699999988079071,0.44999998807907104,Y,0.8500000238418579,-0.4399999976158142,S,0.550000011920929,0.1899999976158142,ZH,0.5600000023841858
IY,L,8,0.019999999552965164,AY,0.550000011920929,-0.17000000178813934,AH,0.4000000059604645,-0.25999999046325684,P,0.38999998569488525,-0.20000000298023224,OW,0.6600000262260437
L,D,7,0.3199999928474426,UX,0.5899999737739563,0.1599999964237213,G_HH,0.5199999809265137,0.2199999988079071,ZH,0.47999998927116394,-0.25,N,0.5199999809265137
EH,AH,752,0.07000000029802322,OW,0.6299999952316284,0.3499999940395355,AW,0.7099999785423279,0.3100000023841858,SH,0.4099999964237213,0.07999999821186066,AA,0.6600000262260437
UW,UH,194,0.07000000029802322,AH,0.5199999809265137,0.2800000011920929,UH,0.2800000011920929,0.44999998807907104,AH,0.5400000214576721,0.4099999964237213,AE,0.4699999988079071
AO,-,107,0.0,-,0.0,0.0,-,0.0,0.0,-,0.0,0.0,-,0.0
EH,OY,54,0.0,OW,0.6299999952316284,0.0,AW,0.7099999785423279,0.0,SH,0.4099999964237213,0.41999998688697815,AA,0.6600000262260437
EH,IH,206,0.03999999910593033,OW,0.6299999952316284,-0.3199999928474426,AW,0.7099999785423279,-0.15000000596046448,SH,0.4099999964237213,0.20000000298023224,AA,0.6600000262260437
AH,-,648,0.0,-,0.0,0.0,-,0.0,0.0,-,0.0,0.0,-,0.0
R,ER,773,0.0,CH,0.550000011920929,0.0,Y,0.6299999952316284,0.0,N,0.49000000953674316,0.3799999952316284,L,0.47999998927116394
EH,-,143,0.0,-,0.0,0.0,-,0.0,0.0,-,0.0,0.0,-,0.0
D,-,242,0.0,-,0.0,0.0,-,0.0,0.0,-,0.0,0.0,-,0.0
ZH,EY,5,0.27000001072883606,R,0.5099999904632568,-0.09000000357627869,CH,0.8700000047683716,0.03999999910593033,L,0.47999998927116394,0.20999999344348907,SH,0.5600000023841858
IY,JH,7,0.0,AY,0.550000011920929,0.0,AH,0.4000000059604645,0.0,P,0.38999998569488525,0.05000000074505806,OW,0.6600000262260437
IY,IH,2356,-0.07000000029802322,AY,0.550000011920929,0.38999998569488525,AH,0.4000000059604645,0.09000000357627869,P,0.38999998569488525,0.14000000059604645,OW,0.6600000262260437
S,Z,560,0.3400000035762787,IH,0.4300000071525574,0.1599999964237213,NG,0.5099999904632568,0.05999999865889549,SH,0.550000011920929,-0.009999999776482582,M,0.3100000023841858
AA,-,865,0.0,-,0.0,0.0,-,0.0,0.0,-,0.0,0.0,-,0.0
IY,AY,585,0.550000011920929,AY,0.550000011920929,0.1599999964237213,AH,0.4000000059604645,0.1599999964237213,P,0.38999998569488525,0.23999999463558197,OW,0.6600000262260437
AE,EH,32,0.09000000357627869,AH,0.5899999737739563,0.07999999821186066,B,0.5,0.03999999910593033,HH,0.6000000238418579,0.6000000238418579,EH,0.6000000238418579
D,DH,905,-0.07000000029802322,R,0.4099999964237213,0.03999999910593033,UX,0.4099999964237213,0.4399999976158142,G,0.49000000953674316,0.3400000035762787,Z,0.47999998927116394
IY,AH,509,0.3499999940395355,AY,0.550000011920929,0.4000000059604645,AH,0.4000000059604645,0.3400000035762787,P,0.38999998569488525,0.27000001072883606,OW,0.6600000262260437
D,AH,37,-0.38999998569488525,R,0.4099999964237213,-0.5400000214576721,UX,0.4099999964237213,-0.30000001192092896,G,0.49000000953674316,0.03999999910593033,Z,0.47999998927116394
ZH,JH,206,0.0,R,0.5099999904632568,0.0,CH,0.8700000047683716,0.0,L,0.47999998927116394,0.4699999988079071,SH,0.5600000023841858
AA,AE,111,0.10999999940395355,N_JH,0.5199999809265137,-0.05999999865889549,TH,0.4099999964237213,-0.14000000059604645,AH,0.7400000095367432,0.3400000035762787,OW,0.7699999809265137
