Phone1,Phone2,Count,CosineSimilarity_tamil_word2vec_,ClosestPhone_tamil_word2vec_,MaxSimilarity_tamil_word2vec_,CosineSimilarity_telugu_word2vec_,ClosestPhone_telugu_word2vec_,MaxSimilarity_telugu_word2vec_,CosineSimilarity_hindi_word2vec_,ClosestPhone_hindi_word2vec_,MaxSimilarity_hindi_word2vec_,CosineSimilarity_cmu_word2vec_,ClosestPhone_cmu_word2vec_,MaxSimilarity_cmu_word2vec_
EH,EY,627,0.49000000953674316,OW,0.6299999952316284,0.2199999988079071,AW,0.7099999785423279,0.0,SH,0.4099999964237213,0.3100000023841858,AA,0.6600000262260437
IY,-,168,0.0,-,0.0,0.0,-,0.0,0.0,-,0.0,0.0,-,0.0
T,IH,35,0.14000000059604645,P,0.4699999988079071,0.14000000059604645,DH,0.6499999761581421,-0.41999998688697815,TH,0.5299999713897705,0.25,Z,0.3400000035762787
AA,TH,11,-0.14000000059604645,N_JH,0.5199999809265137,0.4099999964237213,TH,0.4099999964237213,-0.1899999976158142,AH,0.7400000095367432,0.15000000596046448,OW,0.7699999809265137
UW,AW,187,0.09000000357627869,AH,0.5199999809265137,0.20000000298023224,UH,0.2800000011920929,0.029999999329447746,AH,0.5400000214576721,0.03999999910593033,AE,0.4699999988079071
EH,IH,179,0.03999999910593033,OW,0.6299999952316284,-0.3199999928474426,AW,0.7099999785423279,-0.15000000596046448,SH,0.4099999964237213,0.20000000298023224,AA,0.6600000262260437
IY,IH,2044,-0.07000000029802322,AY,0.550000011920929,0.38999998569488525,AH,0.4000000059604645,0.09000000357627869,P,0.38999998569488525,0.14000000059604645,OW,0.6600000262260437
D,DH,810,-0.07000000029802322,R,0.4099999964237213,0.03999999910593033,UX,0.4099999964237213,0.4399999976158142,G,0.49000000953674316,0.3400000035762787,Z,0.47999998927116394
IY,AH,412,0.3499999940395355,AY,0.550000011920929,0.4000000059604645,AH,0.4000000059604645,0.3400000035762787,P,0.38999998569488525,0.27000001072883606,OW,0.6600000262260437
AH,ER,198,0.0,AE,0.5899999737739563,0.0,N_JH,0.6499999761581421,0.0,AA,0.7400000095367432,0.41999998688697815,ER,0.41999998688697815
AO,AA,408,0.10999999940395355,CH,0.46000000834465027,0.3400000035762787,M,0.5699999928474426,-0.20999999344348907,OW,0.6000000238418579,0.4699999988079071,UH,0.6499999761581421
AA,-,852,0.0,-,0.0,0.0,-,0.0,0.0,-,0.0,0.0,-,0.0
IY,AY,586,0.550000011920929,AY,0.550000011920929,0.1599999964237213,AH,0.4000000059604645,0.1599999964237213,P,0.38999998569488525,0.23999999463558197,OW,0.6600000262260437
AE,AH,247,0.5899999737739563,AH,0.5899999737739563,-0.20999999344348907,B,0.5,-0.14000000059604645,HH,0.6000000238418579,0.2199999988079071,EH,0.6000000238418579
T,CH,11,0.2800000011920929,P,0.4699999988079071,0.5099999904632568,DH,0.6499999761581421,0.3400000035762787,TH,0.5299999713897705,0.14000000059604645,Z,0.3400000035762787
SH,T,6,0.23000000417232513,F,0.699999988079071,0.3100000023841858,Y,0.8500000238418579,0.4699999988079071,S,0.550000011920929,0.25,ZH,0.5600000023841858
Z,S,66,0.3400000035762787,G,0.7900000214576721,0.1599999964237213,G_HH,0.6700000166893005,0.05999999865889549,K_HH,0.5400000214576721,-0.009999999776482582,D,0.47999998927116394
EH,AH,748,0.07000000029802322,OW,0.6299999952316284,0.3499999940395355,AW,0.7099999785423279,0.3100000023841858,SH,0.4099999964237213,0.07999999821186066,AA,0.6600000262260437
S,Z,475,0.3400000035762787,IH,0.4300000071525574,0.1599999964237213,NG,0.5099999904632568,0.05999999865889549,SH,0.550000011920929,-0.009999999776482582,M,0.3100000023841858
D,IH,21,0.20999999344348907,R,0.4099999964237213,-0.1599999964237213,UX,0.4099999964237213,-0.27000001072883606,G,0.49000000953674316,-0.25,Z,0.47999998927116394
-,D,53,0.0,-,0.0,0.0,-,0.0,0.0,-,0.0,0.0,-,0.0
SH,S,14,0.3799999952316284,F,0.699999988079071,0.3400000035762787,Y,0.8500000238418579,0.550000011920929,S,0.550000011920929,0.10000000149011612,ZH,0.5600000023841858
D,-,229,0.0,-,0.0,0.0,-,0.0,0.0,-,0.0,0.0,-,0.0
ZH,JH,185,0.0,R,0.5099999904632568,0.0,CH,0.8700000047683716,0.0,L,0.47999998927116394,0.4699999988079071,SH,0.5600000023841858
AO,-,101,0.0,-,0.0,0.0,-,0.0,0.0,-,0.0,0.0,-,0.0
Y,OY,17,0.0,TH,0.550000011920929,0.0,SH,0.8500000238418579,0.0,B_HH,0.6399999856948853,-0.33000001311302185,ZH,0.41999998688697815
K,-,14,0.0,-,0.0,0.0,-,0.0,0.0,-,0.0,0.0,-,0.0
R,-,83,0.0,-,0.0,0.0,-,0.0,0.0,-,0.0,0.0,-,0.0
T,-,246,0.0,-,0.0,0.0,-,0.0,0.0,-,0.0,0.0,-,0.0
AH,-,685,0.0,-,0.0,0.0,-,0.0,0.0,-,0.0,0.0,-,0.0
R,ER,794,0.0,CH,0.550000011920929,0.0,Y,0.6299999952316284,0.0,N,0.49000000953674316,0.3799999952316284,L,0.47999998927116394
D,T,77,0.2199999988079071,R,0.4099999964237213,0.28999999165534973,UX,0.4099999964237213,0.27000001072883606,G,0.49000000953674316,0.23000000417232513,Z,0.47999998927116394
UW,UH,154,0.07000000029802322,AH,0.5199999809265137,0.2800000011920929,UH,0.2800000011920929,0.44999998807907104,AH,0.5400000214576721,0.4099999964237213,AE,0.4699999988079071
AO,AH,291,-0.20999999344348907,CH,0.46000000834465027,0.2199999988079071,M,0.5699999928474426,-0.20000000298023224,OW,0.6000000238418579,-0.10999999940395355,UH,0.6499999761581421
IY,ER,3,0.0,AY,0.550000011920929,0.0,AH,0.4000000059604645,0.0,P,0.38999998569488525,0.20000000298023224,OW,0.6600000262260437
AH,AA,106,0.4000000059604645,AE,0.5899999737739563,0.38999998569488525,N_JH,0.6499999761581421,0.7400000095367432,AA,0.7400000095367432,0.2199999988079071,ER,0.41999998688697815
OW,AH,66,-0.11999999731779099,EH,0.6299999952316284,0.10999999940395355,EH,0.6200000047683716,0.1599999964237213,AO,0.6000000238418579,0.3700000047683716,AA,0.7699999809265137
F,V,194,0.1899999976158142,HH,0.8700000047683716,0.23999999463558197,CH,0.9100000262260437,0.20000000298023224,AO,0.4300000071525574,0.1599999964237213,B,0.5600000023841858
-,EH,14,0.0,-,0.0,0.0,-,0.0,0.0,-,0.0,0.0,-,0.0
SH,CH,166,0.3700000047683716,F,0.699999988079071,0.3100000023841858,Y,0.8500000238418579,0.30000001192092896,S,0.550000011920929,-0.009999999776482582,ZH,0.5600000023841858
Y,-,96,0.0,-,0.0,0.0,-,0.0,0.0,-,0.0,0.0,-,0.0
AH,AY,22,0.09000000357627869,AE,0.5899999737739563,-0.0,N_JH,0.6499999761581421,-0.12999999523162842,AA,0.7400000095367432,-0.14000000059604645,ER,0.41999998688697815
