Phone1,Phone2,Count,CosineSimilarity_tamil_word2vec_,ClosestPhone_tamil_word2vec_,MaxSimilarity_tamil_word2vec_,CosineSimilarity_telugu_word2vec_,ClosestPhone_telugu_word2vec_,MaxSimilarity_telugu_word2vec_,CosineSimilarity_hindi_word2vec_,ClosestPhone_hindi_word2vec_,MaxSimilarity_hindi_word2vec_,CosineSimilarity_cmu_word2vec_,ClosestPhone_cmu_word2vec_,MaxSimilarity_cmu_word2vec_
AO,AA,541,0.10999999940395355,CH,0.46000000834465027,0.3400000035762787,M,0.5699999928474426,-0.20999999344348907,OW,0.6000000238418579,0.4699999988079071,UH,0.6499999761581421
EH,EY,848,0.49000000953674316,OW,0.6299999952316284,0.2199999988079071,AW,0.7099999785423279,0.0,SH,0.4099999964237213,0.3100000023841858,AA,0.6600000262260437
-,T,48,0.0,-,0.0,0.0,-,0.0,0.0,-,0.0,0.0,-,0.0
AA,-,1112,0.0,-,0.0,0.0,-,0.0,0.0,-,0.0,0.0,-,0.0
Y,AY,39,-0.5199999809265137,TH,0.550000011920929,0.28999999165534973,SH,0.8500000238418579,0.25,B_HH,0.6399999856948853,-0.3100000023841858,ZH,0.41999998688697815
IY,AH,492,0.3499999940395355,AY,0.550000011920929,0.4000000059604645,AH,0.4000000059604645,0.3400000035762787,P,0.38999998569488525,0.27000001072883606,OW,0.6600000262260437
IY,IH,2639,-0.07000000029802322,AY,0.550000011920929,0.38999998569488525,AH,0.4000000059604645,0.09000000357627869,P,0.38999998569488525,0.14000000059604645,OW,0.6600000262260437
IY,AY,689,0.550000011920929,AY,0.550000011920929,0.1599999964237213,AH,0.4000000059604645,0.1599999964237213,P,0.38999998569488525,0.23999999463558197,OW,0.6600000262260437
D,T,116,0.2199999988079071,R,0.4099999964237213,0.28999999165534973,UX,0.4099999964237213,0.27000001072883606,G,0.49000000953674316,0.23000000417232513,Z,0.47999998927116394
T,-,385,0.0,-,0.0,0.0,-,0.0,0.0,-,0.0,0.0,-,0.0
SH,CH,237,0.3700000047683716,F,0.699999988079071,0.3100000023841858,Y,0.8500000238418579,0.30000001192092896,S,0.550000011920929,-0.009999999776482582,ZH,0.5600000023841858
AH,R,29,-0.17000000178813934,AE,0.5899999737739563,-0.09000000357627869,N_JH,0.6499999761581421,-0.3499999940395355,AA,0.7400000095367432,0.14000000059604645,ER,0.41999998688697815
AH,-,902,0.0,-,0.0,0.0,-,0.0,0.0,-,0.0,0.0,-,0.0
R,ER,1019,0.0,CH,0.550000011920929,0.0,Y,0.6299999952316284,0.0,N,0.49000000953674316,0.3799999952316284,L,0.47999998927116394
OW,UH,17,0.41999998688697815,EH,0.6299999952316284,0.03999999910593033,EH,0.6200000047683716,0.44999998807907104,AO,0.6000000238418579,0.36000001430511475,AA,0.7699999809265137
EH,IH,224,0.03999999910593033,OW,0.6299999952316284,-0.3199999928474426,AW,0.7099999785423279,-0.15000000596046448,SH,0.4099999964237213,0.20000000298023224,AA,0.6600000262260437
S,-,43,0.0,-,0.0,0.0,-,0.0,0.0,-,0.0,0.0,-,0.0
